Source;Target;Weight;Type
270;6;1;undirected
271;32;1;undirected
271;16;1;undirected
271;111;2;undirected
273;266;1;undirected
273;40;1;undirected
275;40;1;undirected
276;95;1;undirected
108;85;1;undirected
102;79;1;undirected
102;112;1;undirected
101;114;1;undirected
32;271;1;undirected
36;67;1;undirected
6;270;1;undirected
93;58;1;undirected
95;276;1;undirected
233;43;1;undirected
146;168;1;undirected
27;21;1;undirected
20;13;1;undirected
20;15;1;undirected
20;16;1;undirected
20;83;1;undirected
21;27;1;undirected
22;266;1;undirected
22;40;1;undirected
28;78;1;undirected
28;229;1;undirected
89;49;1;undirected
87;49;1;undirected
87;43;1;undirected
85;108;1;undirected
11;127;1;undirected
13;20;1;undirected
15;20;1;undirected
15;16;1;undirected
15;83;1;undirected
17;18;1;undirected
17;56;1;undirected
16;271;1;undirected
16;20;1;undirected
16;15;1;undirected
16;111;1;undirected
16;83;1;undirected
19;366;2;undirected
18;17;1;undirected
18;56;1;undirected
70;265;1;undirected
70;55;1;undirected
79;102;1;undirected
79;112;1;undirected
78;28;1;undirected
78;229;1;undirected
120;118;1;undirected
127;11;1;undirected
366;19;2;undirected
63;68;1;undirected
63;42;1;undirected
65;139;1;undirected
67;36;1;undirected
68;63;1;undirected
68;42;1;undirected
168;146;1;undirected
266;273;1;undirected
266;22;1;undirected
266;40;3;undirected
265;70;1;undirected
58;93;1;undirected
55;70;1;undirected
56;17;1;undirected
56;18;1;undirected
114;101;1;undirected
111;271;2;undirected
111;16;1;undirected
111;112;1;undirected
118;120;1;undirected
229;28;1;undirected
229;78;1;undirected
112;102;1;undirected
112;79;1;undirected
112;111;1;undirected
83;20;1;undirected
83;15;1;undirected
83;16;1;undirected
49;89;1;undirected
49;87;1;undirected
49;43;1;undirected
42;63;1;undirected
42;68;1;undirected
43;233;1;undirected
43;87;1;undirected
43;49;1;undirected
40;273;1;undirected
40;275;1;undirected
40;22;1;undirected
40;266;3;undirected
